time,sat_id,az,el,pseudorange,carrier_phase,doppler,true_range,sat_x,sat_y,sat_z,sat_vx,sat_vy,sat_vz
0,932,4.410993783700553,16.92211430077029,1435808.9388071739,1435809.104568621,2010.1168967472015,1435797.2699869834,1658224.6300365508,5741526.0020341985,3515453.4355429993,-3900.9828903431626,3994.466455132796,-4674.292264220299
0,933,91.8022154135741,15.067014097424092,1528827.111053067,1528826.8151259737,-1993.6810084942736,1528815.8735663474,479598.74381311075,6568580.376033406,2170521.397721503,-4176.341214941071,2147.63658882791,-5567.047878900525
0,954,25.387834543025253,14.496879916390725,1556493.1069822665,1556493.001689412,1027.049119758084,1556480.4583955246,1134654.3761426143,5877636.235918161,3498490.4876419483,-4238.222959715325,3615.1016978103075,-4689.487066371399
0,1453,-62.0056708994449,13.593403903020258,1580532.868486191,1580532.8096397212,794.1807504002684,1580516.6574873268,3105032.0677674003,5471641.74809812,2887410.5119641153,-5142.368566704797,193.96248823130088,5171.869842598692
0,1475,-48.30399400325658,23.38148971200761,1162566.479398074,1162566.3344685198,-7.1223797918864635,1162555.8552110642,2596223.2737644343,5721143.51749688,2906125.935169406,-5151.07507249204,-278.36176245419966,5159.25754738458
0,1496,-115.97625697022004,10.812259804852598,1745910.6687538354,1745910.9406946832,2727.7291637903586,1745891.9349538048,3411409.4318221374,5837255.080005662,1481679.271418649,-4257.846943167398,1007.8612266018605,5842.1009857988065
0,1497,-17.980294850551324,33.79327639514847,904667.997517018,904668.3639031133,-1366.557974903439,904661.0298461609,2067674.1554270447,5923505.871735313,2924795.515440515,-5116.419734453021,-750.5381028713123,5146.563947154334
0,1518,-129.0423521947069,19.705807943442327,1291948.4314822874,1291949.0350121483,2812.3754129932527,1291936.9988399798,2872402.4031449505,6115352.117498772,1502834.0749410575,-4341.8090711515715,607.5998312492608,5835.601580985683
0,1519,24.313776063907827,31.557078315269266,949135.4262408776,949135.6303583179,-2547.9853741875872,949128.7482979688,1523738.202129339,6077198.012918478,2943418.958562308,-5038.512406044526,-1218.5878884267647,5133.789243641489
0,1540,-155.94156869928662,30.507116732086025,970473.320354075,970473.3907397223,2593.6239945887605,970465.3235286004,2310977.2279717606,6343796.649391622,1523965.1639432875,-4388.243342339916,200.56256092697558,5829.010113036195
0,1541,49.05402380666907,20.491226266685874,1263336.9137447062,1263336.602910421,-2805.702808552112,1263327.5885338427,968882.822909097,6181090.36621642,2961995.9710530406,-4917.827350390147,-1678.5534441267052,5120.933639959085
0,1562,160.38236840280246,32.275935729592106,933053.0983461094,933053.2244193394,1524.922139109535,933046.3713146686,1731698.219484037,6520806.718784477,1545072.2050580094,-4396.625177423837,-209.74097126545462,5822.326686870366
0,1563,60.13161618071077,11.53673348353515,1701786.9515628312,1701787.0198973753,-2706.076049432912,1701773.1544908467,407655.3761759757,6234462.043025667,2980526.260168916,-4755.2009098299195,-2126.529044878055,5107.997340405174
1,1,128.59090890293717,21.980928904481313,1207927.5674912937,1207927.0326830256,274.53342405688596,1207918.539447068,1131013.0467284261,6645058.708537817,1571969.4706461884,-4367.842883613101,-629.642360543886,5813.658114033869
1,23,113.61509527460832,12.469607779520976,1643295.1872968532,1643295.0876852812,-419.50614318901927,1643282.140200799,530265.1796164013,6714781.983426812,1593020.5377073209,-4298.960214835878,-1035.8805721997476,5806.76571165467
1,802,-148.94548846442524,10.72979727584982,1783011.0654221494,1783010.80424471,-1343.0881001048374,1782992.6384515306,2875079.821484304,6263224.168999067,774674.5676320088,-3432.4397147918967,2317.9261795050097,-5992.12574693709
1,823,-87.94305771140367,15.532132170743177,1505043.1074333696,1505043.0088983325,1671.9005481890429,1505028.0805941243,3266716.089653303,5681826.286035482,2265418.5105759758,-2816.0316277571433,3824.3860880920465,-5521.678452290772
1,824,-169.39201182746956,13.556566328796771,1611203.0041275187,1611202.9787890147,-2135.8646051214437,1611188.361713487,2303461.4361424595,6497796.021672618,752958.4955068994,-3630.8168095821393,1982.9427750479258,-5995.432809261928
1,845,-90.21085860714396,29.955687444448028,1004384.0146615227,1004384.1138713136,1479.6120077229325,1004375.162842539,2746164.490319866,5958493.177470903,2245395.254224387,-3149.535030927783,3539.5933085290003,-5531.446348936847
1,846,168.06660795133382,13.09777210515096,1637296.0568407138,1637296.0406699528,-2751.884617128303,1637281.9612093894,1712920.8630418286,6680231.223881503,731230.6112113144,-3796.794771991613,1631.2002498502136,-5998.6458111651755
1,867,-98.31093927106345,62.54101622386502,620331.3959923391,620331.459389602,649.4889254725307,620326.3629517148,2202312.2598130493,6187464.022889234,2225336.764731566,-3454.6907007004106,3225.9110805125383,-5541.127401464579
1,888,-34.01627190170816,11.094835419399805,1755706.0430593176,1755706.4743974481,2997.6173348682096,1755688.6163122708,2652388.9764103135,5336074.987253789,3544567.7005678234,-3130.2882889205493,4649.726613062618,-4647.933947390235
1,889,101.43076750216821,60.257769726270766,632586.0138456806,632586.1353978914,-1144.4488804333075,632581.817719699,1639529.3083167213,6366789.762652616,2205243.3570085415,-3729.0139269919737,2886.125466475374,-5550.721459287728
1,910,-17.18230622377913,15.440667982673787,1507521.9464463938,1507522.093436831,2717.415436387908,1507508.5935925029,2163021.252152979,5563248.912204462,3527700.057899928,-3531.804890159415,4336.208087753774,-4663.255327147096
1,911,94.18951716163927,28.965734758654776,1027913.2173015515,1027913.7317434076,-1833.606757822568,1027907.168860477,1062347.0636940605,6494921.647756268,2185115.346509917,-3970.2910451968987,2523.2344675949685,-5560.228372985831
