time,error_3d,pdop,sats
0,16.98960569390297,1.1615243297542441,24
1,16.908822418265512,1.1612110709861214,24
2,17.127283077160467,1.1609243034327326,24
3,17.409366901259144,1.1606644967223354,24
4,18.80127917666084,1.1286026633953135,25
5,18.90753309010175,1.1082974798733003,26
6,18.38284345122578,1.1084862864514795,26
7,19.059802382517585,1.1086998925009375,26
8,19.133008273237348,1.1089385784548211,26
9,18.818049568980744,1.1092023876334962,26
10,18.428605264156904,1.1094912823544387,26
11,18.79922220216998,1.1098050937566497,26
12,18.293124499163255,1.1337479964403263,25
13,18.101434980980223,1.1345504116438843,25
14,18.050169088992085,1.1353820364830154,25
15,18.38860565458044,1.136242469838036,25
16,18.598871990471842,1.1371312039830492,25
17,18.560938152854504,1.1380476294358037,25
18,18.287554778931682,1.1389911975545945,25
19,18.00905205249872,1.139960979615585,25
20,18.21469090888099,1.1409561605419671,25
21,18.11485325639763,1.1419758690801238,25
22,18.427538205322907,1.1430189970620772,25
23,18.69547634066704,1.1440844403279629,25
24,18.078629487898375,1.1451711166958372,25
25,18.934643219697744,1.1462774557472344,25
26,18.56940163393364,1.1474021523340154,25
27,18.783811669895744,1.1485435695973587,25
28,19.36182005886179,1.1497001389873716,25
29,18.605573191038772,1.1508701701408819,25
30,17.964676508574847,1.1779662915553588,24
31,17.699202313158064,1.1791482423909714,24
32,17.978577696595547,1.1803397016097947,24
33,17.459968606280327,1.222800613401834,23
34,18.30436965796345,1.2249816785268597,23
35,17.798402823531244,1.2271735483740887,23
36,18.063097562185284,1.2293727433601715,23
37,17.90818369044325,1.2315756486343126,23
38,17.708499716594986,1.2337785569225495,23
39,18.050522135773132,1.2359775564029745,23
40,18.58266277197989,1.2381686665522644,23
41,18.493890927225554,1.240347614025409,23
42,18.342465942934155,1.2425100103192095,23
43,19.367944353792975,1.2446511914130622,23
44,18.471864269849544,1.2467668576016966,23
45,19.06774698943515,1.2488519390285102,23
46,18.606826660772526,1.250901719706338,23
47,18.17616775768208,1.3263889122518255,22
48,18.273037227337753,1.3298953907308382,22
49,17.576464119196714,1.333344108431645,22
50,17.71326041290973,1.3367271362288715,22
51,18.24682069985022,1.3400368362457749,22
52,18.405257713242257,1.343265011250066,22
53,18.325339511949586,1.3464040135781103,22
54,17.994201046938823,1.349444709853165,22
55,18.479845953852152,1.3523799433806254,22
56,18.63316450217049,1.3552008016692796,22
57,19.04117383359026,1.3579000566944932,22
58,18.62376224304526,1.3604690656580465,22
59,20.18908273035324,1.3306071724055808,23
